RowKey,CatalogCode,ProductCode,VariantAxisCode,VariantLabel,PackageCode,UnitQuantity,UnitCode,DisplayOrder,PublicationMode
CSV-4F2010859C1E6397935F,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,铁观音,PKG-500G,500,g,1000,request_only
CSV-7FD27D03DC22C823886C,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,秋铁观音Y,PKG-500G,500,g,1001,request_only
CSV-1233C2287A1C7BC04B67,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,铁观音果香,PKG-500G,500,g,1002,request_only
CSV-36E1D3B5F4C645DB4E9A,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,安溪铁观音果香,PKG-500G,500,g,1003,request_only
CSV-3E550BC20C9429F9A48B,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,铁观音毛茶,PKG-500G,500,g,1004,request_only
CSV-A4F4F5E0E8087B8DB365,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,铁观音果香2,PKG-500G,500,g,1005,request_only
CSV-ED610B3AC87E78B46589,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,铁观音果香F-A,PKG-500G,500,g,1006,request_only
CSV-32A7D0AC2A22B58B9319,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,花香铁观音,PKG-500G,500,g,1007,request_only
CSV-8494464B54BB083D1E4B,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,手工花香铁观音,PKG-500G,500,g,1008,request_only
CSV-ACA00FB97E61437AAB28,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,秋铁观音消,PKG-500G,500,g,1009,request_only
CSV-DC47F8E06F18AE0A0C60,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,铁观音毛茶A,PKG-500G,500,g,1010,request_only
CSV-7BD450753933BE9206E0,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,2026春花香铁观音,PKG-500G,500,g,1011,request_only
CSV-276CD087DD59DEC5DADA,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,2026年花香铁观音,PKG-500G,500,g,1012,request_only
CSV-69B7A0B4B41628D83FD5,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,炭焙铁观音正味,PKG-500G,500,g,1013,request_only
CSV-05B52620A3638284DB06,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,2026果香铁观音,PKG-500G,500,g,1014,request_only
CSV-72C8437847F469AA0975,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,炭焙铁观音消正,PKG-500G,500,g,1015,request_only
CSV-6FC39662E39F1EA00F1F,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,铁观音茶王,PKG-500G,500,g,1016,request_only
CSV-FC08C68E09F9DAD5E942,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,粒粒香铁观音,PKG-500G,500,g,1017,request_only
CSV-45BFECD8CBAB8AC7F93F,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,高山正味铁观音（花香）,PKG-500G,500,g,1018,request_only
CSV-EB26DB561EAF9E3F64CF,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,安溪正味高山铁观音,PKG-500G,500,g,1019,request_only
CSV-7490A03BD0152483B155,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,手工高山果香铁观音,PKG-500G,500,g,1020,request_only
CSV-3CED92A7B79ADBB8E9AC,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,20年老铁观音,PKG-500G,500,g,1021,request_only
CSV-5D896597A5CF21690A73,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,秋茶高山铁观音,PKG-500G,500,g,1022,request_only
CSV-FDA48E9CAEF33A0BC3E6,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,2026春手工花香铁观音,PKG-500G,500,g,1023,request_only
CSV-0CF3914BB7D8581DD72A,CATALOG-CHINESE-TEA-SHOP,TEA-CN-TIE-GUANYIN,TGY-GRADE,传统工艺桂花香铁观音,PKG-500G,500,g,1024,request_only
